date,product,revenue,quantity,region
2024-01-03,ProMax Suite,1820,12,North
2024-01-05,Starter Plan,640,8,South
2024-01-07,Enterprise Tier,3200,4,East
2024-01-10,ProMax Suite,2100,14,North
2024-01-12,Starter Plan,480,6,West
2024-01-15,Add-ons,320,10,Central
2024-01-17,Enterprise Tier,2800,3,East
2024-01-19,ProMax Suite,1950,13,South
2024-01-22,Starter Plan,560,7,North
2024-01-24,Enterprise Tier,3100,4,East
2024-01-26,ProMax Suite,2250,15,Central
2024-01-29,Add-ons,280,9,West
2024-02-02,ProMax Suite,2400,16,North
2024-02-05,Starter Plan,720,9,South
2024-02-07,Enterprise Tier,3600,5,East
2024-02-10,ProMax Suite,2100,14,West
2024-02-13,Starter Plan,500,6,Central
2024-02-15,Add-ons,410,13,North
2024-02-18,Enterprise Tier,2950,4,East
2024-02-21,ProMax Suite,2700,18,South
2024-02-24,Starter Plan,640,8,North
2024-02-27,Enterprise Tier,3400,5,East
2024-03-01,ProMax Suite,3100,20,Central
2024-03-04,Starter Plan,580,7,West
2024-03-06,Enterprise Tier,4200,6,East
2024-03-09,ProMax Suite,3800,25,North
2024-03-12,ProMax Suite,9200,61,North
2024-03-14,Enterprise Tier,5100,7,East
2024-03-16,Starter Plan,820,10,South
2024-03-19,ProMax Suite,4100,27,Central
2024-03-22,Add-ons,610,19,West
2024-03-25,Enterprise Tier,3800,5,East
2024-03-28,ProMax Suite,3500,23,North
2024-04-01,Starter Plan,690,9,South
2024-04-04,Enterprise Tier,3200,4,East
2024-04-07,ProMax Suite,2900,19,West
2024-04-10,Add-ons,420,13,Central
2024-04-13,Starter Plan,510,6,North
2024-04-16,ProMax Suite,2600,17,South
2024-04-19,Enterprise Tier,2800,4,East
2024-04-22,ProMax Suite,2400,16,West
2024-04-25,Starter Plan,480,6,Central
2024-04-28,Add-ons,350,11,North
